"","site","x","y","z","dbh","height","species","crownArea","crownCentroidX","crownCentroidY","crownVectorLen","crownVectorDir"
"1",1,0.869,5.269,-0.05,28.1,17.155,"Pinus sylvestris",8.687012,0.86760633,5.371428703,0.102438184,359.2204675
"2",1,5.397,17.467,0.218,50.3,17.303,"Pinus sylvestris",24.536951,5.502183896,17.11726974,0.365205298,163.2609618
"3",1,4.731,8.783,0.062,15.3,14.44,"Pinus sylvestris",0.801185,4.485180124,8.628973064,0.290089139,237.9293775
"4",1,5.833,10.33,0.029,18.6,15.416,"Pinus sylvestris",6.090272,5.559666442,11.24825402,0.958071856,343.4234891
"5",1,7.308,9.066,0.133,25,17.864,"Pinus sylvestris",4.6929335,7.126718966,9.02522568,0.185810006,257.323802
"6",1,11.768,15.171,0.163,11.9,8.285,"Picea abies",2.386878,11.91772565,15.45645292,0.322337,27.67789127
"7",1,11.288,13.059,0.492,60.2,15.098,"Pinus sylvestris",46.1365025,11.83775599,11.95529178,1.233046421,153.5221494
"8",1,8.8,5.6,0,21.1,20.063,"Pinus sylvestris",3.8375245,8.816488575,5.656274541,0.058640405,16.33071051
"9",1,3.553,0.281,-0.01,34.8,17.459,"Pinus sylvestris",22.020629,4.066982237,-0.259993941,0.746225291,136.4666858
"10",1,11.758,-0.006,0.514,41.6,19.669,"Pinus sylvestris",23.0991535,11.58683023,-0.743347775,0.756954974,193.0692997
"11",1,19.933,0.664,0.44,20.8,10.102,"Betula pubescens",13.976977,20.03036088,1.15304081,0.4986382,11.25953535
"12",1,16.911,4.203,0.519,15.8,10.371,"Betula pubescens",11.9343385,16.80584712,4.549847684,0.362436813,343.1344118
"13",1,26.151,9.712,0.688,21.7,15.613,"Pinus sylvestris",2.8800375,25.9592084,9.055497168,0.683944431,196.2852643
"14",1,25.286,10.466,0.694,29.2,17.128,"Pinus sylvestris",6.2374425,24.8390305,10.37068478,0.457019396,257.9621175
"15",1,24.23,11.791,0.587,10.6,8.722,"Pinus sylvestris",0.5870265,23.9139417,11.98825914,0.37256411,301.9692202
"16",1,23.272,15.687,0.58,20.5,18.653,"Pinus sylvestris",3.0886725,23.34808709,15.22148202,0.471695061,170.7173098
"17",1,23.05,17.015,0.797,31.2,18.737,"Pinus sylvestris",6.307194,21.8716847,16.94581049,1.180344923,266.639507
"18",1,24.299,16.143,0.692,24.5,15.44,"Pinus sylvestris",2.9515075,24.27441962,15.79258231,0.351278742,184.0124948
"19",1,26.048,16.841,0.941,34.2,17.933,"Pinus sylvestris",8.7446475,26.64336453,16.54260151,0.665958395,116.6201663
"20",1,25.94,16.125,0.839,13.3,11.954,"Pinus sylvestris",1.510186,26.15170159,15.07585724,1.07028879,168.5917453
"21",1,26.359,20.592,0.584,13.3,10.675,"Betula pubescens",3.1042255,26.32690088,20.62346374,0.04494798,314.427286
"22",1,30.404,20.062,0.811,22.3,16.911,"Pinus sylvestris",2.9203595,30.63386721,19.8237756,0.331043499,136.0228352
"23",1,32.43,27.191,0.759,29.4,16.932,"Pinus sylvestris",12.964797,31.76522832,26.76048909,0.791998126,237.0726163
"24",1,28.479,28.333,0.637,10.8,7.477,"Betula pubescens",4.0178535,28.62515908,28.43657591,0.179138067,54.67663355
"25",1,22.916,31.27,0.745,20.6,10.607,"Betula pubescens",14.969605,23.31781599,31.10949233,0.432687881,111.7745171
"26",1,10.668,29.592,-0.058,18.4,10.668,"Betula pubescens",12.9323365,10.970901,30.32453104,0.792685773,22.46505509
"27",1,8.334,28.071,-0.245,12.1,9.471,"Picea abies",3.22357,8.336204984,27.98568124,0.085347252,178.5195738
"28",1,7.027,27.539,0.237,33.3,18.988,"Pinus sylvestris",9.387629,7.40789296,27.72446961,0.423648938,64.03698967
"29",1,4.722,27.743,-0.39,15.6,13.132,"Betula pubescens",3.3950555,4.146737895,27.77270343,0.576028457,272.95582
"30",1,6.055,28.356,-0.284,15.5,15.206,"Pinus sylvestris",1.23048,6.228925581,28.64179018,0.334553634,31.32376897
"31",1,4.886,30.023,-0.345,21.1,12.676,"Picea abies",10.4505465,4.885751116,30.16356629,0.140566511,359.8985533
"32",1,3.531,31.166,-0.356,22.5,15.397,"Picea abies",4.846936,3.45613091,31.05011978,0.137962333,212.8661123
"33",1,5.752,24.669,-0.135,22.6,15.716,"Pinus sylvestris",10.285963,5.253983407,24.05864107,0.787755384,219.2124001
"34",2,0.606,4.455,-0.176,21.2,10.935,"Betula pubescens",14.7057325,0.357670171,5.028644328,0.625088409,336.5922809
"35",2,4.526,0.094,0.4,33.5,14.653,"Pinus sylvestris",31.188933,4.370242448,-0.92404998,1.029896197,188.698571
"36",2,23.192,3.735,0.048,15.1,11.734,"Betula pubescens",6.746261,23.09223571,2.865200482,0.875502208,186.5431202
"37",2,23.261,4.006,0.317,12.4,10.322,"Betula pubescens",4.9424605,23.43109067,4.720071461,0.734049649,13.39809068
"38",2,32.875,0.801,0.548,28.9,16.912,"Pinus sylvestris",12.3303125,32.62505305,0.44009309,0.439007148,214.704631
"39",2,33.255,8.506,0.461,34.6,18.549,"Pinus sylvestris",20.3969465,33.44576778,7.954141716,0.583900602,160.930625
"40",2,32.742,11.075,0.339,27.2,16.569,"Pinus sylvestris",6.0137835,32.91259716,11.57325225,0.526648547,18.90075007
"41",2,27.776,11.051,0.249,22.8,18.051,"Pinus sylvestris",4.7213605,27.89691206,10.40220215,0.659968463,169.4432775
"42",2,31.739,17.459,0.367,26.1,17.928,"Pinus sylvestris",5.7892575,31.70928721,17.27258323,0.188769867,189.0561407
"43",2,25.186,14.93,0.321,10.9,5.414,"Betula pubescens",4.955501,25.46871797,14.01764267,0.955157236,162.7830268
"44",2,24.531,16.485,0.093,12.5,7.318,"Betula pubescens",4.3333815,24.24046429,16.47628023,0.290666536,268.2809129
"45",2,19.701,11.277,0.28,59.3,19.413,"Pinus sylvestris",33.390168,20.4517547,11.07653722,0.777057236,104.9500494
"46",2,18.801,19.835,-0.217,22.6,16.27,"Pinus sylvestris",4.726174,19.09337608,19.52273475,0.427777232,136.8840176
"47",2,18.01,23.979,-0.64,11.6,5.465,"Betula pubescens",2.315779,18.01115272,23.75057913,0.228423783,179.7108619
"48",2,17.839,24.219,-0.586,16.6,11.191,"Pinus sylvestris",5.9935155,17.4142907,24.34539331,0.443117661,286.5729827
"49",2,15.122,19.177,-0.379,22.5,11.654,"Pinus sylvestris",12.641552,15.22513088,17.82974934,1.351192183,175.6225944
"50",2,14.415,19.687,-0.503,24.6,19.964,"Pinus sylvestris",5.6913945,13.94486938,19.39102992,0.555536754,237.8075901
"51",2,15.192,26.496,-0.745,33,18.227,"Pinus sylvestris",15.3146385,15.32261666,26.46747365,0.133695418,102.319809
"52",2,11.546,26.66,-1.184,33.7,18.594,"Pinus sylvestris",9.227375,11.44958961,26.36549167,0.309887272,198.1264022
"53",2,7.882,30.49,-1.886,39.4,17.962,"Pinus sylvestris",20.584538,7.378516819,29.49951412,1.11110647,206.9451137
"54",2,18.718,32.114,-1.089,20.4,13.476,"Pinus sylvestris",5.3409135,18.72626873,31.86007638,0.254058217,178.1348876
"55",2,31.551,24.615,-0.01,20.4,13.732,"Pinus sylvestris",2.9478085,31.39684452,24.49246806,0.196921268,231.5202355
"56",2,28.786,30.841,-0.441,30.1,17.214,"Pinus sylvestris",13.483078,28.56210874,30.35791667,0.532444172,204.8659788
"57",2,10.536,8.021,-0.193,27.5,15.788,"Pinus sylvestris",7.1570365,10.8632076,7.554957209,0.569438933,144.9273927
"58",2,8.149,9.825,-0.44,11.1,9.83,"Betula pubescens",3.3706615,8.301989125,10.5698229,0.760372823,11.60730305
"59",2,8.454,14.351,-0.631,14.1,8.344,"Betula pubescens",6.8351315,8.032316733,14.07924872,0.501662773,237.2004837
"60",2,7.987,14.474,-0.591,12.1,5.418,"Betula pubescens",4.875845,7.0977871,14.69119703,0.915354648,283.7261673
"61",2,8.707,14.835,-0.782,11.7,9.073,"Betula pubescens",3.422461,9.110689267,15.26945795,0.593058797,42.89759536
"62",2,4.243,21.455,-1.435,22.3,10.725,"Pinus sylvestris",9.95018,4.203395304,21.07439246,0.382662553,185.9406197
"63",2,1.535,22.518,-1.923,17,12.349,"Pinus sylvestris",3.101803,1.248124353,22.51625432,0.286880958,269.6513516
"64",2,-1.114,18.632,-1.79,23.2,13.026,"Pinus sylvestris",7.0995225,-1.086744057,18.53547941,0.100295123,164.2311299
"65",2,0.216,16.572,-1.494,11.1,8.885,"Pinus sylvestris",1.587581,0.094575368,16.5172975,0.13317772,245.748159
"66",2,3.246,22.985,-1.871,11.9,3,"Betula pubescens",1.7641205,3.2459439,23.58500579,0.600005793,359.9946429
"67",3,0.382,-0.1,-0.177,32.4,11.393,"Pinus sylvestris",13.2387255,0.368486111,-0.270904554,0.171438011,184.5211264
"68",3,0.478,3.374,-0.178,15.2,7.608,"Betula pubescens",4.149589,0.634105126,3.574492646,0.254098626,37.90460115
"69",3,9.657,9.78,0.304,11.1,6.411,"Betula pubescens",5.4484175,9.658939778,9.848352981,0.068380499,1.625551385
"70",3,6.475,14.786,-0.018,22.7,9.935,"Pinus sylvestris",6.8354875,6.84652311,14.57406327,0.427722574,119.7027569
"71",3,-3.476,12.5,-0.336,27.7,8.769,"Pinus sylvestris",12.2824545,-2.736289057,12.14539119,0.820316822,115.6125166
"72",3,9.863,16.168,0.052,18.5,11.181,"Pinus sylvestris",3.298414,9.833927954,16.08754754,0.085544038,199.8676673
"73",3,7.77,22.558,-0.042,30.4,15.391,"Pinus sylvestris",8.7029,7.85673633,22.54645624,0.08750114,97.58096017
"74",3,0.641,19.724,-0.334,36.7,16.879,"Pinus sylvestris",31.3553285,0.720130265,19.10745987,0.6215974,172.6863175
"75",3,5.703,17.478,-0.292,11,2.722,"Betula pubescens",2.0300445,5.412698032,17.91022975,0.520670518,326.1131862
"76",3,4.323,23.587,-0.574,12.2,6.113,"Betula pubescens",6.7637345,4.54977092,23.85899247,0.354125618,39.81930934
"77",3,4.133,29.653,-0.628,20.9,12.604,"Pinus sylvestris",9.199461,3.874816433,29.77331826,0.28484248,294.9863792
"78",3,5.255,30.3,-0.598,16.4,11.759,"Pinus sylvestris",5.684497,5.817846616,30.4318351,0.578080277,76.81730938
"79",3,9.45,30.784,-0.573,11.1,9.864,"Pinus sylvestris",2.465611,9.533806375,30.77843552,0.083990903,93.79868075
"80",3,21.512,30.392,-0.431,18,10.457,"Pinus sylvestris",5.3366335,21.7146874,29.99978848,0.441488456,152.6709452
"81",3,21.162,30.727,-0.405,15.9,8.115,"Betula pubescens",9.2492935,21.46684979,31.10145316,0.482854601,39.14972308
"82",3,26.133,28.539,-0.212,17.3,10.644,"Pinus sylvestris",2.491634,26.1508725,28.49775464,0.044951155,156.571883
"83",3,27.718,30.058,-0.404,13.5,8.277,"Pinus sylvestris",2.2088705,27.54082028,30.48588071,0.463113981,337.5062035
"84",3,28.021,29.692,-0.488,20.1,11.293,"Pinus sylvestris",12.3908905,28.24730058,29.74127496,0.231603053,77.71608594
"85",3,31.1,28.864,-0.708,13.4,8.692,"Betula pubescens",3.552171,31.36314706,29.0156039,0.303694121,60.0529588
"86",3,31.417,30.162,-0.774,15.1,7.859,"Pinus sylvestris",4.415131,31.37633604,30.42979635,0.270866101,351.3657902
"87",3,27.262,22.332,-0.265,14.2,9.814,"Pinus sylvestris",2.4312135,27.27930646,22.55057661,0.219260687,4.527120607
"88",3,29.744,21.649,-0.405,15.4,10.727,"Pinus sylvestris",3.3484975,29.9928922,21.51489805,0.282720106,118.3155785
"89",3,22.044,25.372,-0.242,13.3,5.366,"Betula pubescens",4.215195,21.92199407,25.59841199,0.257192218,331.6812415
"90",3,25.854,21.693,-0.194,11.1,8.756,"Pinus sylvestris",3.4245175,25.99055385,21.77114825,0.157334367,60.21797291
"91",3,23.997,19.759,-0.172,11.3,8.695,"Pinus sylvestris",2.4958545,24.15404539,20.08378147,0.360757893,25.80570454
"92",3,26.13,16.285,0.031,35.4,17.079,"Pinus sylvestris",25.9657765,26.31542896,16.3252113,0.189738889,77.76454138
"93",3,26.105,12.539,-0.019,31.1,12.808,"Pinus sylvestris",18.9515935,26.04080861,11.88912474,0.653037817,185.641089
"94",3,20.551,13.505,0.149,21.1,12.327,"Pinus sylvestris",10.3118015,20.15550934,13.38657662,0.412840117,253.3305078
"95",3,24.591,7.199,-0.108,14,9.949,"Pinus sylvestris",4.654262,24.77465054,7.012934719,0.261434143,135.3742124
"96",3,28.936,4.09,0.159,34.8,17.2,"Pinus sylvestris",28.4133935,28.47405546,3.983835744,0.473986929,257.057012
"97",3,22.181,5.322,-0.09,13.9,8.163,"Pinus sylvestris",2.5305715,22.29776028,5.311191756,0.117259457,95.28867363
"98",4,-0.2,11.828,-0.312,20,9.556,"Betula pubescens",11.7650625,-0.471610843,11.55674306,0.383865576,225.0373515
"99",4,5.309,17.854,-1.189,21.3,14.292,"Betula pubescens",9.019092,4.397735694,16.69506498,1.474290686,218.1777775
"100",4,5.828,18.261,-0.686,21.6,10.741,"Betula pubescens",17.7406115,5.575881425,20.36666273,2.120702549,353.1722741
"101",4,6.322,17.802,-0.661,24.3,12.023,"Betula pubescens",22.081043,7.481102471,18.35010192,1.282159997,64.69205333
"102",4,7.594,14.349,-1.025,15,7.776,"Picea abies",6.6853665,7.563932414,14.10112315,0.249693798,186.9162175
"103",4,13.049,17.763,-1.489,36.2,18.411,"Picea abies",6.583113,13.07654251,17.67560339,0.091633817,162.5080724
"104",4,8.7,17.857,-1.442,31.3,18.557,"Picea abies",7.4644425,9.25445036,17.83653291,0.554827995,92.11406832
"105",4,11.121,9.269,-0.429,35.1,20.223,"Picea abies",7.4027035,11.28552085,9.692371472,0.454214173,21.23597348
"106",4,12.281,7.8,-0.167,35.4,18.553,"Picea abies",7.036678,12.21545832,7.406944946,0.398482104,189.466932
"107",4,20.149,3.092,-0.766,35,17.742,"Picea abies",5.883022,20.02589329,3.170346095,0.145922486,302.4730022
"108",4,19.424,18.93,-2.35,32.8,18.255,"Picea abies",5.519085,19.13863097,18.61202933,0.427247973,221.9070141
"109",4,22.051,19.611,-1.983,39,23.103,"Picea abies",8.841693,22.2712873,19.68876691,0.233611183,70.55569872
"110",4,25.846,20.659,-2.203,36.9,17.963,"Picea abies",9.522641,26.32869435,20.17848812,0.681091408,134.870177
"111",4,26.531,22.71,-2.741,22.4,14.737,"Picea abies",6.3582785,26.01759419,22.82148586,0.525370941,282.2515491
"112",4,24.116,11.275,-1.969,33.6,16.615,"Picea abies",5.2578605,23.8079042,10.92490854,0.466355073,221.3491898
"113",4,32.008,20.726,-2.621,29.4,13.865,"Betula pubescens",22.7122465,32.57795809,20.03102053,0.898804035,140.6445539
"114",4,32.366,20.138,-2.387,21.5,7.931,"Betula pubescens",27.8493885,32.71811806,19.00368008,1.187715797,162.7544982
"115",4,31.772,5.157,-2.095,27.2,14.432,"Picea abies",7.0670295,31.1791614,4.815532205,0.684147545,240.0585829
"116",4,1.708,-1.81,-0.325,31.1,14.048,"Betula pubescens",25.096391,1.435768368,-1.922491586,0.294558005,247.5486016
"117",5,0.638,17.033,0.088,42.8,17.962,"Picea abies",13.7864895,0.431771744,17.32359447,0.356335852,324.6375483
"118",5,2.024,13.308,0.081,30.5,14.136,"Picea abies",3.9562185,1.444385867,13.17103067,0.595577988,256.7042736
"119",5,4.437,8.314,-0.116,31,17.826,"Picea abies",17.30874,5.218001114,8.182847259,0.791936729,99.53267975
"120",5,4.635,3.039,-0.17,20.7,10.68,"Picea abies",10.173455,4.719620853,2.845140956,0.211523091,156.4183883
"121",5,4.84,1.308,-0.117,19.2,12.264,"Betula pubescens",10.036001,4.796289281,1.435266463,0.134563663,341.0445423
"122",5,5.648,8.637,-0.174,11.4,8.112,"Picea abies",5.1986825,6.154154541,7.997377275,0.815665158,141.6442703
"123",5,21.316,2.176,-0.35,44.4,22.876,"Picea abies",13.233023,21.72147147,1.542669327,0.752007218,147.3717829
"124",5,20.661,6.445,-0.017,30.7,19.948,"Picea abies",4.4532695,20.2836874,6.176476493,0.463108706,234.561537
"125",5,17.492,6.916,-0.245,31.7,17.416,"Picea abies",5.2130455,17.0603976,6.928072407,0.431771208,271.60221
"126",5,14.744,5.605,0.059,37.2,17.088,"Picea abies",11.66254,14.12780707,5.104488767,0.793854663,230.9142927
"127",5,14.018,1.43,-0.272,16,10.174,"Betula pubescens",8.4639625,14.14847326,1.314345368,0.174353849,131.5545512
"128",5,12.248,14.494,0.133,29,16.554,"Betula pubescens",17.320895,12.38331139,14.35412082,0.194615923,135.950945
"129",5,12.396,15.457,0.24,11.9,6.699,"Betula pubescens",4.9443215,11.92017558,15.66845821,0.520695157,293.960547
"130",5,12.698,15.434,0.05,22,14.698,"Betula pubescens",12.7405695,13.5995357,16.52436379,1.414800273,39.58465778
"131",5,10.641,16.767,-0.037,12.3,8.814,"Picea abies",4.0723035,10.38843966,16.53846413,0.34061029,227.8588004
"132",5,4.993,19.122,0.359,44.1,19.146,"Picea abies",10.15716,5.089307407,19.4466983,0.338679946,16.52066309
"133",5,17.395,20.073,0.044,24.5,14.354,"Betula pubescens",26.350632,15.7458327,19.6198251,1.710298303,254.6349284
"134",5,17.744,20.483,0.231,22.6,13.81,"Betula pubescens",17.994226,18.1697398,22.13229552,1.703358479,14.47404462
"135",5,22.888,16.333,-0.154,41.5,22.593,"Picea abies",25.8527255,22.90900829,15.95855288,0.37503599,176.7887973
"136",5,28.169,3.441,-0.158,13.5,8.211,"Picea abies",5.482191,28.46228661,3.326229302,0.314943405,111.3717019
"137",5,22.031,19.495,-0.124,19.5,14.497,"Betula pubescens",11.7068705,21.63338123,19.84592947,0.530332135,311.4309061
"138",5,27.441,6.652,0.013,42.5,21.584,"Picea abies",8.6573315,27.24039477,6.328789439,0.380404423,211.8263945
"139",5,29.311,6.065,0.1,28.5,24.395,"Picea abies",7.634708,30.30724691,5.201458703,1.318412481,130.9185643
"140",5,29.338,15.626,-0.257,21,16.862,"Picea abies",4.452568,28.99532948,15.06792607,0.654881358,211.5509038
"141",5,30.066,18.752,-0.215,42.1,20.356,"Picea abies",17.6927785,29.51040724,18.4802103,0.618508654,243.9326421
"142",5,32.186,25.221,-0.202,33.7,20.489,"Picea abies",14.5561265,32.26048221,24.91825154,0.311775929,166.1785736
"143",5,24.115,31.457,-0.012,20.3,10.968,"Betula pubescens",13.295854,24.06623977,30.3378189,1.120242779,182.4946719
"144",5,19.205,29.115,0.061,22.1,12.907,"Picea abies",12.005941,19.31123543,28.63692547,0.489735874,167.4715749
"145",5,12.199,31.722,0.006,31.6,17.141,"Picea abies",28.8361355,11.89263282,30.82114483,0.951525553,198.78239
"146",5,13.573,31.4,0.24,24.5,15.049,"Betula pubescens",11.152856,14.01396231,31.31120241,0.449814149,101.3855144
"147",5,-0.093,26.92,0.314,25,13.27,"Betula pubescens",10.9694105,0.306694103,26.47883429,0.595300395,137.8235672
"148",5,1.112,30.726,0.426,33.5,15.688,"Picea abies",10.092647,0.848175123,30.13310851,0.64894059,203.9881091
"149",6,0.261,11.155,0.367,19.7,13.127,"Betula pubescens",18.987708,-0.759337848,11.30910304,1.031909431,278.5885508
"150",6,1.427,12.471,0.175,10.4,9.046,"Betula pubescens",3.255234,2.020010217,12.41054253,0.596084074,95.82120003
"151",6,2.332,14.759,0.357,14.5,10.706,"Betula pubescens",4.393155,2.148266626,14.1821334,0.60541971,197.6668001
"152",6,3.999,13.975,0.318,15.2,10.318,"Picea abies",4.6517015,4.001233677,13.78692449,0.188088777,179.3195591
"153",6,5.814,15.369,0.404,34.4,19.816,"Pinus sylvestris",18.277302,5.987385917,15.63314747,0.315969241,33.28082181
"154",6,7.382,15.99,0.244,24.4,14.9,"Picea abies",6.6878385,7.431991195,16.45069427,0.463398672,6.19308973
"155",6,3.416,4.356,0.205,15.2,4.909,"Betula pubescens",1.6381685,4.490136613,4.533770784,1.088747866,80.60266753
"156",6,6.001,6.319,0.141,16.9,13.561,"Picea abies",5.0815105,6.012310241,6.374491095,0.056631998,11.52027406
"157",6,9.194,5.537,-0.009,18.5,14.524,"Picea abies",5.293344,9.556780385,5.271357502,0.449639349,126.2130996
"158",6,5.807,2.999,0.01,15.2,13.391,"Picea abies",4.860862,6.199683343,2.93581039,0.397735006,99.14152456
"159",6,3.82,-0.066,-0.069,10.2,7.279,"Betula pubescens",3.88436,3.915386917,-0.916909343,0.856239087,173.6038475
"160",6,11.075,-1.685,-0.264,16.5,10.64,"Betula pubescens",9.226714,10.39520134,-0.740744838,1.16350506,324.2487127
"161",6,10.925,6.917,-0.186,14,8.475,"Betula pubescens",8.109183,11.33089179,6.081540169,0.92883867,154.0881089
"162",6,13.306,12.476,0.061,20.6,13.877,"Pinus sylvestris",5.5134745,12.91162685,12.75662353,0.484024533,305.4344586
"163",6,15.205,10.882,0.286,41.3,18.435,"Pinus sylvestris",28.182922,14.85485927,10.57875201,0.463203924,229.1049952
