type	species	x_m	y_m	ht_m	dbh_cm
Tree	PIPO	79.18	36.87	1.38	1.78
Stump	PSME	50.34	186.39	1.38	3.05
Tree	PIPO	60.66	88.02	1.42	2.03
Tree	PIPO	181.24	146.21	1.43	1.02
Tree	PIPO	113.57	191.69	1.45	2.03
Tree	PIPO	169.03	25	1.46	1.52
Tree	PIPO	43.12	154.96	1.49	1.52
Tree	PIPO	28.57	19.83	1.5	1.02
Tree	PIPO	25	19.42	1.5	2.03
Tree	PIPO	66.72	130.72	1.54	0.76
Stump	PSME	31.25	138.41	1.54	3.46
Tree	PIPO	27.32	17.17	1.55	2.54
Tree	PIPO	128.01	41.1	1.56	1.78
Tree	PIPO	92.91	55.1	1.56	3.3
Tree	PIPO	64.37	112.76	1.57	2.03
Tree	PIPO	150.5	19.09	1.58	1.52
Tree	PIPO	158.95	15.25	1.59	2.54
Tree	PIPO	28.27	18.35	1.6	2.54
Tree	PIPO	27.04	17.89	1.6	2.54
Tree	POTR	18.77	139.83	1.6	1.02
Tree	POTR	138.58	179.05	1.6	0.51
Stump	PSME	34.1	138.81	1.62	3.66
Tree	PIPO	46.45	154.36	1.69	5.84
Tree	PIPO	2.33	105.89	1.7	1.52
Tree	POTR	15.07	154.46	1.7	0.76
Tree	POTR	47.19	141.96	1.7	1.27
Stump	PSME	96.92	192.5	1.7	3.86
Stump	PSME	48.73	188.64	1.7	3.86
Stump	PSME	10.18	188.71	1.7	3.86
Stump	PIPO	160.97	138.99	1.75	0.2
Tree	POTR	153.98	176.73	1.78	3.56
Stump	PSME	46.83	184.81	1.78	4.06
Tree	PIPO	45.66	117.15	1.8	1.78
Tree	POTR	146.21	182.05	1.8	0.51
Tree	POTR	14.15	144.19	1.8	1.52
Tree	POTR	15.14	153.36	1.8	0.51
Tree	POTR	141.68	177.97	1.8	5.08
Tree	PIPO	183.74	7.76	1.81	2.03
Stump	PIPO	38.28	195.36	1.82	0.43
Stump	PIPO	11.22	191.82	1.82	0.43
Tree	PIPO	154.22	14.71	1.83	2.54
Tree	PIPO	183.41	17.88	1.89	2.54
Stump	PIPO	11.82	156.47	1.9	0.65
Stump	PIPO	164.24	178.81	1.9	0.65
Tree	POTR	110.02	177.78	1.9	0.51
